Dataset,Model,Method,Threshold,Validation_F1,Accuracy,Precision,Recall,F1,ROC_AUC
Breast Cancer Wisconsin,Logistic Regression,Baseline,0.3,1.0,0.9790209790209791,0.967741935483871,1.0,0.9836065573770492,0.9974842767295597
Breast Cancer Wisconsin,Logistic Regression,Class Weight,0.23,1.0,0.9790209790209791,0.967741935483871,1.0,0.9836065573770492,0.9974842767295597
Breast Cancer Wisconsin,Logistic Regression,Random Oversampling,0.18000000000000002,1.0,0.972027972027972,0.9574468085106383,1.0,0.9782608695652174,0.9972746331236897
Breast Cancer Wisconsin,Logistic Regression,Random Undersampling,0.2,1.0,0.972027972027972,0.9574468085106383,1.0,0.9782608695652174,0.9970649895178197
Breast Cancer Wisconsin,Logistic Regression,SMOTE,0.23,1.0,0.972027972027972,0.9574468085106383,1.0,0.9782608695652174,0.9972746331236897
Breast Cancer Wisconsin,Random Forest,Class Weight,0.48000000000000004,0.9724770642201835,0.951048951048951,0.9560439560439561,0.9666666666666667,0.9613259668508287,0.990356394129979
Breast Cancer Wisconsin,Random Forest,Random Undersampling,0.47000000000000003,0.9811320754716981,0.951048951048951,0.9882352941176471,0.9333333333333333,0.96,0.9924528301886792
Breast Cancer Wisconsin,Random Forest,Baseline,0.28,0.972972972972973,0.9440559440559441,0.9183673469387755,1.0,0.9574468085106383,0.9905660377358491
Breast Cancer Wisconsin,Random Forest,SMOTE,0.25,0.9642857142857143,0.9440559440559441,0.9183673469387755,1.0,0.9574468085106383,0.9937106918238994
Breast Cancer Wisconsin,Neural Network,Focal Loss,0.54,0.9423076923076923,0.9440559440559441,0.9456521739130435,0.9666666666666667,0.9560439560439561,0.9748427672955975
Breast Cancer Wisconsin,Random Forest,Random Oversampling,0.28,0.9642857142857143,0.9370629370629371,0.9175257731958762,0.9888888888888889,0.9518716577540107,0.9926624737945493
Breast Cancer Wisconsin,Balanced Random Forest,Balanced Random Forest,0.54,0.9719626168224299,0.9230769230769231,0.9540229885057471,0.9222222222222223,0.9378531073446328,0.9918238993710692
Credit Card Fraud,Random Forest,Baseline,0.72,0.8175182481751825,0.9994803516755147,0.8981481481481481,0.7886178861788617,0.8398268398268398,0.9585225622652545
Credit Card Fraud,Random Forest,Random Oversampling,0.64,0.8142857142857143,0.9993679952810315,0.8421052631578947,0.7804878048780488,0.810126582278481,0.963827606452319
Credit Card Fraud,Random Forest,Class Weight,0.51,0.8169014084507042,0.9992556388865481,0.7734375,0.8048780487804879,0.7888446215139442,0.9483682246605947
Credit Card Fraud,Neural Network,Focal Loss,0.72,0.8226950354609929,0.9992696834358585,0.8141592920353983,0.7479674796747967,0.7796610169491526,0.9601416813560361
Credit Card Fraud,Logistic Regression,Baseline,0.56,0.7866666666666666,0.9991713715906857,0.7352941176470589,0.8130081300813008,0.7722007722007722,0.971291762046055
Credit Card Fraud,Random Forest,SMOTE,0.9600000000000001,0.8062015503875969,0.9993118170837898,0.9021739130434783,0.6747967479674797,0.772093023255814,0.9791687183743909
Credit Card Fraud,Balanced Random Forest,Balanced Random Forest,0.92,0.7794117647058824,0.9992275497879273,0.7931034482758621,0.7479674796747967,0.7698744769874477,0.9753396455586976
Credit Card Fraud,Random Forest,Random Undersampling,0.9,0.7682119205298014,0.9991573270413753,0.7368421052631579,0.7967479674796748,0.765625,0.9696034424996256
Credit Card Fraud,Logistic Regression,Random Oversampling,0.99,0.6492146596858639,0.9986095896182692,0.5659340659340659,0.8373983739837398,0.6754098360655738,0.9749510363883447
Credit Card Fraud,Logistic Regression,Class Weight,0.99,0.6526315789473685,0.9985815005196483,0.5597826086956522,0.8373983739837398,0.6710097719869706,0.9751809420343813
Credit Card Fraud,Logistic Regression,SMOTE,0.99,0.543859649122807,0.9976826493637819,0.4166666666666667,0.8536585365853658,0.56,0.9751403939987991
Credit Card Fraud,Logistic Regression,Random Undersampling,0.99,0.35502958579881655,0.9951686750372181,0.2375296912114014,0.8130081300813008,0.36764705882352944,0.9766824203505615
